company_raw,company_normalized,official_name,factset_entity_id
Konecranes Global Corp.,konecranes global,Konecranes Plc,05HZJ9-E
Konecranes Finland OY,konecranes finland oy,Konecranes Plc,05HZJ9-E
Manchester United Football Club,manchester united football club,Manchester United plc,05HZLD-E
IPSOS,ipsos,Ipsos S.A.,05HZLW-E
"SK Securities Co.,Ltd",sk securities,"SK Securities Co., Ltd.",05HZM4-E
Grupo Argos S.A.,grupo argos s a,Grupo Argos S.A.,05HZMP-E
Argos Panama S.A,argos panama s a,Grupo Argos S.A.,05HZMP-E
Grupo Argos,grupo argos,Grupo Argos S.A.,05HZMP-E
Rathbones Group plc,rathbones,Rathbones Group Plc,05HZMT-E
ETERNAL MATERIALS CO LTD,eternal materials,"Eternal Materials Co., Ltd.",05HZND-E
ZURICH AIRPORT LATIN AMERICA LTDA,zurich airport latin america ltda,Flughafen ZÃ¼rich AG,05HZQS-E
Tate Access Floors,tate access floors,Kingspan Group plc,05HZQY-E
Kingspan Insulations Oy,kingspan insulations oy,Kingspan Group plc,05HZQY-E
